Clock,S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix,Miscellaneous
04/26/10 17:14:20.671530,Rcv,Nrm,    5,    7,ID_REPLICA_MANAGER_CONSTRUCTION,504,632177732,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,4,,
04/26/10 17:14:20.671530,Rcv,Nrm,    6,    7,ID_REPLICA_MANAGER_DOWNLOAD_COMPLETE,16,632177732,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,5,,
632177741: 632177594000 client, node 1 created; rem 2
04/26/10 17:14:20.671530,Snd,Nrm,    4,    5,ID_REPLICA_MANAGER_DOWNLOAD_STARTED,16,632177742,127.0.0.1:12345,127.0.0.1:4943,52685,-842150451,0,4,,
04/26/10 17:14:20.671530,Snd,Nrm,    5,    6,ID_REPLICA_MANAGER_CONSTRUCTION,536,632177742,127.0.0.1:12345,127.0.0.1:4943,52685,-842150451,0,5,,
04/26/10 17:14:20.671530,Snd,Nrm,    6,    7,ID_REPLICA_MANAGER_SERIALIZE,2543,632177742,127.0.0.1:12345,127.0.0.1:4943,52685,-842150451,0,6,,
04/26/10 17:14:20.671530,Snd,Nrm,    7,    8,ID_REPLICA_MANAGER_DOWNLOAD_COMPLETE,16,632177742,127.0.0.1:12345,127.0.0.1:4943,52685,-842150451,0,7,,
04/26/10 17:14:20.671530,Snd,Nrm,    2,    3,ID_REPLICA_MANAGER_SCOPE_CHANGE,16,632177742,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,2,,
04/26/10 17:14:20.671530,Snd,Nrm,    3,    4,ID_REPLICA_MANAGER_DOWNLOAD_STARTED,16,632177742,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,3,,
04/26/10 17:14:20.671530,Snd,Nrm,    4,    5,ID_REPLICA_MANAGER_CONSTRUCTION,536,632177742,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,4,,
04/26/10 17:14:20.671530,Snd,Nrm,    5,    6,ID_REPLICA_MANAGER_SERIALIZE,2543,632177742,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,5,,
04/26/10 17:14:20.671530,Snd,Nrm,    6,    7,ID_REPLICA_MANAGER_DOWNLOAD_COMPLETE,16,632177742,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,6,,
04/26/10 17:14:20.671530,Snd,Nrm,    7,    8,ID_REPLICA_MANAGER_3_LOCAL_CONSTRUCTION_ACCEPTED,480,632177742,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,7,,
04/26/10 17:14:20.671530,Rcv,Ack,4,,,,632177742,127.0.0.1:12345,127.0.0.1:4943,,,,,,
04/26/10 17:14:20.671530,Rcv,Ack,5,,,,632177742,127.0.0.1:12345,127.0.0.1:4943,,,,,,
